trial_index,filename,original_emotion,perceived_emotion_majority,perceived_emotion_total_responses,perceived_prop_Positive,perceived_count_Positive,perceived_prop_Neutral,perceived_count_Neutral,perceived_prop_Negative,perceived_count_Negative,viewing_mean_fixation_count,viewing_mean_dwell_time_s,viewing_mean_mean_fixation_duration_ms,viewing_mean_fixation_density_per_megapixel,aoi_mean_face_area_normalized_density,aoi_mean_text_area_normalized_density,aoi_mean_face_dwell_proportion,aoi_mean_text_dwell_proportion,aoi_mean_face_fixation_proportion,aoi_mean_text_fixation_proportion,aoi_mean_face_ttff_ms,aoi_mean_text_ttff_ms,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,n_fixations_for_auc_nss,efficientnet_true_label,efficientnet_predicted_label,efficientnet_predicted_probability,intended_matches_perceived_majority,intended_matches_efficientnet,deepgaze_nss_agreement_level,deepgaze_auc_agreement_level,semantic_attention_emphasis
27,105_orig_104.jpg,Positive,Positive,34,0.5882352941176471,20,0.35294117647058826,12,0.058823529411764705,2,46.38235294117647,7.53869036764811,163.40686955090942,31.812313402727348,,0.1468674324994057,0.0,0.0024968958412049883,0.0,0.0022624434389140265,,0.0,0.477356076804816,0.5983216584348605,0.6165242317322961,0.7835273689983695,0.8173234447898238,1577,Positive,Positive,0.3846364617347717,True,True,weak,strong,text_more_than_face
28,262_orig_261.jpg,Neutral,Neutral,34,0.35294117647058826,12,0.5294117647058824,18,0.11764705882352941,4,46.029411764705884,7.361533926514854,160.36196082933955,80.16938330739225,,1.3793853310436102,0.0,0.43802741977867876,0.0,0.43987139232486455,,360.02335294993185,0.5010334436590324,0.6298950231016524,0.4955442215713785,0.6656780180168563,0.4812087703545616,1565,Neutral,Positive,0.4273642897605896,True,False,weak,moderate,text_more_than_face
29,198_orig_197.jpg,Negative,Neutral,34,0.3235294117647059,11,0.5882352941176471,20,0.08823529411764706,3,44.411764705882355,7.52252839707064,169.88716031435487,30.59672943251375,,15.090298618154554,0.0,0.006766747807643553,0.0,0.0070694189954978795,,6122.193149990471,0.8232834876871532,0.6697020921371546,0.5012146879598389,0.8457749017186601,1.895097566456447,1510,Negative,Positive,0.4083775281906128,False,False,moderate,strong,text_more_than_face
30,746_orig_845.jpg,Neutral,Positive,35,0.8285714285714286,29,0.08571428571428572,3,0.08571428571428572,3,43.82857142857143,7.060586957149696,161.21803490183493,30.060748579267095,,,0.0,0.0,0.0,0.0,,,0.5023978511494825,0.5614866769779319,0.6450035224990752,0.6953730043787629,0.3318260459007364,1534,Neutral,Neutral,0.3638409972190857,False,True,weak,moderate,equal_face_text
31,82_orig_81.jpg,Positive,Neutral,35,0.3142857142857143,11,0.5714285714285714,20,0.11428571428571428,4,47.31428571428572,7.313394528611284,155.11119906428425,40.56437389770723,,4.637028038711199,0.0,0.36232283025902046,0.0,0.35257951191462517,,456.14048529911514,0.7598105348049378,0.6367233602278193,0.5642494018172126,0.7985172909558579,1.2451177233548056,1656,Positive,Negative,0.4219142198562622,False,False,moderate,strong,text_more_than_face
32,292_orig_291.jpg,Negative,Neutral,35,0.3142857142857143,11,0.6571428571428571,23,0.02857142857142857,1,44.91428571428571,7.654578400103485,170.6148116674737,30.78260665233278,,10.585077965768344,0.0,0.049424155193094815,0.0,0.04947654119482144,,2539.7322142947587,0.778570479321063,0.6512772850847558,0.5320776163114715,0.861026949504274,1.741214755648418,1572,Negative,Neutral,0.3799592554569244,False,False,moderate,strong,text_more_than_face
33,916_orig_1094.jpg,Negative,Neutral,34,0.2647058823529412,9,0.5882352941176471,20,0.14705882352941177,5,44.85294117647059,7.375426808781426,164.55877142804238,30.76333414024046,,2.0405299432959643,0.0,0.2513408715469268,0.0,0.24524986635350587,,785.9468382374544,0.5074475668035021,0.5056362669988034,0.8189943727856865,0.7330816868371003,0.7106638563392531,1525,Negative,Positive,0.376236617565155,False,False,weak,strong,text_more_than_face
34,251_orig_250.jpg,Negative,Neutral,33,0.3333333333333333,11,0.6060606060606061,20,0.06060606060606061,2,43.72727272727273,7.5413369090611155,173.0298767697378,29.991270732011472,7.231867728807286,9.424596581565394,0.030022853900736595,0.03478412913901073,0.028649703704794832,0.03525497239770756,2730.4426666645063,4138.6362105243425,0.6671128019807238,0.5520745452861328,0.8031353626382397,0.8688706349813015,1.209216229134009,1443,Negative,Neutral,0.3617719709873199,False,False,moderate,strong,text_more_than_face
35,573_orig_672.jpg,Neutral,Neutral,35,0.2,7,0.5142857142857142,18,0.2857142857142857,10,45.34285714285714,7.652429357125272,169.4570773407017,38.874191651969426,,8.551655566670636,0.0,0.37795781434203896,0.0,0.3719574261521788,,543.6914393881882,0.8342555118400258,0.6439179573413261,0.5402598871793025,0.8708493059937114,1.9138013171885484,1587,Neutral,Negative,0.3555864989757538,True,False,moderate,strong,text_more_than_face
36,58_orig_57.jpg,Positive,Neutral,35,0.4,14,0.5428571428571428,19,0.05714285714285714,2,46.08571428571429,7.518542042906399,163.37029892018165,31.608857534783457,,3.2753492147418837,0.0,0.09094924105276406,0.0,0.09001369525753943,,2418.466883330712,0.5376707839433549,0.5390848282313037,0.6860330544230071,0.7774078012565039,0.8045669112173381,1613,Positive,Positive,0.4013071358203888,False,True,weak,strong,text_more_than_face
