participant,filename,response_value,response_emotion_raw,response_emotion,is_no_response,trial_index
U22,41_orig_40.jpg,,NO RESPONDE,,True,13
U22,336_orig_435.jpg,,NO RESPONDE,,True,14
U22,361_orig_460.jpg,,NO RESPONDE,,True,15
U22,640_orig_739.jpg,,NO RESPONDE,,True,16
U22,1123_orig_1359.jpg,,NO RESPONDE,,True,17
U22,1292_orig_1629.jpg,,NO RESPONDE,,True,18
U22,722_orig_821.jpg,,NO RESPONDE,,True,19
U22,324_orig_423.jpg,,NO RESPONDE,,True,21
U22,873_orig_972.jpg,,NO RESPONDE,,True,23
U22,130_orig_129.jpg,,NO RESPONDE,,True,25
U22,184_orig_183.jpg,,NO RESPONDE,,True,26
U22,105_orig_104.jpg,,NO RESPONDE,,True,27
U22,262_orig_261.jpg,,NO RESPONDE,,True,28
U22,198_orig_197.jpg,,NO RESPONDE,,True,29
U22,746_orig_845.jpg,,NO RESPONDE,,True,30
U22,82_orig_81.jpg,,NO RESPONDE,,True,31
U22,292_orig_291.jpg,,NO RESPONDE,,True,32
U22,916_orig_1094.jpg,,NO RESPONDE,,True,33
U22,251_orig_250.jpg,,NO RESPONDE,,True,34
U22,573_orig_672.jpg,,NO RESPONDE,,True,35
U22,58_orig_57.jpg,,NO RESPONDE,,True,36
U22,760_orig_859.jpg,,NO RESPONDE,,True,37
U22,246_orig_245.jpg,,NO RESPONDE,,True,38
U22,432_orig_531.jpg,,NO RESPONDE,,True,39
U22,779_orig_878.jpg,,NO RESPONDE,,True,40
U22,850_orig_949.jpg,,NO RESPONDE,,True,43
U22,1120_orig_1356.jpg,,NO RESPONDE,,True,44
U22,264_orig_263.jpg,,NO RESPONDE,,True,45
U22,87_orig_86.jpg,,NO RESPONDE,,True,46
U22,1155_orig_1391.jpg,,NO RESPONDE,,True,47
U22,704_orig_803.jpg,,NO RESPONDE,,True,48
U22,726_orig_825.jpg,,NO RESPONDE,,True,49
U22,250_orig_249.jpg,,NO RESPONDE,,True,50
U22,153_orig_152.jpg,,NO RESPONDE,,True,51
U22,831_orig_930.jpg,,NO RESPONDE,,True,52
U22,26_orig_25.jpg,,NO RESPONDE,,True,53
U22,71_orig_70.jpg,,NO RESPONDE,,True,54
U22,76_orig_75.jpg,,NO RESPONDE,,True,55
U22,78_orig_77.jpg,,NO RESPONDE,,True,56
U22,423_orig_522.jpg,,NO RESPONDE,,True,57
U22,10_orig_9.jpg,,NO RESPONDE,,True,58
U22,205_orig_204.jpg,,NO RESPONDE,,True,59
U22,1054_orig_1290.jpg,,NO RESPONDE,,True,60
U23,704_orig_803.jpg,,NO RESPONDE,,True,48
U24,1420_orig_1915.jpg,,NO RESPONDE,,True,2
U24,1150_orig_1386.jpg,,NO RESPONDE,,True,6
U24,722_orig_821.jpg,,NO RESPONDE,,True,19
U24,423_orig_522.jpg,,NO RESPONDE,,True,57
U24,205_orig_204.jpg,,NO RESPONDE,,True,59
U25,790_orig_889.jpg,,NO RESPONDE,,True,3
U25,796_orig_895.jpg,,NO RESPONDE,,True,12
U25,198_orig_197.jpg,,NO RESPONDE,,True,29
U26,873_orig_972.jpg,,NO RESPONDE,,True,23
U26,292_orig_291.jpg,,NO RESPONDE,,True,32
U26,432_orig_531.jpg,,NO RESPONDE,,True,39
U26,850_orig_949.jpg,,NO RESPONDE,,True,43
